date,open,close,high,low,volume,amount
2025-11-21,92.76,92.31,93.8,91.71,31822058,2959393037.0
2025-11-24,93.7,94.4,95.99,93.65,34012168,3238072689.0
2025-11-25,95.69,95.3,96.74,94.65,21541905,2065664850.0
2025-11-26,97.48,97.88,98.63,96.59,28008979,2756079050.0
2025-11-27,97.09,96.54,97.63,96.19,17635475,1715220998.0
2025-11-28,97.09,97.04,97.58,96.44,11623825,1134061673.0
2025-12-01,97.48,97.48,98.73,96.89,11324620,1112512070.0
2025-12-02,98.58,99.62,101.42,98.18,26253546,2634959972.0
2025-12-03,99.62,97.68,99.62,97.29,15719557,1546643508.0
2025-12-04,97.48,97.93,98.18,96.39,15838809,1548770104.0
2025-12-05,97.53,98.68,99.72,96.79,22415777,2223141458.0
2025-12-08,98.68,98.83,99.82,98.23,17797860,1767490839.0
2025-12-09,98.83,97.53,99.23,97.19,13406537,1317426753.0
2025-12-10,96.59,97.29,97.63,96.19,13911962,1355997896.0
2025-12-11,97.93,96.89,98.28,96.24,12068567,1175688783.0
2025-12-12,96.89,98.03,98.43,96.74,16769669,1648230829.0
2025-12-15,96.54,95.54,97.93,95.39,17746101,1714534843.0
2025-12-16,95.05,94.1,95.79,93.35,21298070,2013914171.0
2025-12-17,93.65,94.8,95.44,92.51,20502267,1937252443.0
2025-12-18,93.35,93.45,93.55,92.16,18780011,1755759524.0
2025-12-19,93.85,93.25,94.0,92.81,20108026,1885734475.0
2025-12-22,93.25,93.3,94.3,92.86,14215706,1334941765.0
2025-12-23,93.95,92.66,94.1,92.46,15259388,1424378037.0
2025-12-24,92.06,93.16,93.8,92.06,10027951,937124496.0
2025-12-29,96.44,96.64,99.33,96.39,32251687,3168899243.0
2025-12-30,96.89,97.14,97.98,96.49,14917046,1457579712.0
2025-12-31,97.14,94.9,97.88,94.4,14425437,1379209069.0
2026-01-02,95.54,98.28,98.68,93.7,16921910,1656615825.0
2026-01-05,97.83,95.34,97.83,95.34,24938193,2407894351.0
2026-01-06,97.04,98.73,99.13,95.84,31538952,3106830559.0
2026-01-07,98.73,94.85,99.28,94.3,38683971,3705520849.0
2026-01-08,94.85,94.2,94.85,93.35,16012272,1510135722.0
2026-01-09,94.05,94.1,95.3,93.95,13612861,1290146230.0
2026-01-12,95.74,95.25,95.74,93.55,15335541,1458797464.0
2026-01-13,98.13,96.79,99.82,96.24,39644118,3913090569.0
2026-01-14,97.53,97.14,98.93,96.49,20475885,2008489638.0
2026-01-15,97.53,98.63,99.62,97.14,22153310,2200796250.0
2026-01-16,100.52,98.73,101.12,98.48,20613930,2062896711.0
2026-01-19,100.02,100.22,101.32,98.93,17793976,1791524129.0
2026-01-20,100.32,96.54,100.52,96.54,25116282,2456591848.0
2026-01-21,96.39,98.58,99.08,96.04,19217521,1892773246.0
2026-01-22,99.03,99.28,99.72,97.88,18458280,1829910502.0
2026-01-23,99.52,99.13,99.72,98.08,13763088,1368925610.0
2026-01-26,99.43,98.03,99.43,97.14,14820339,1457032149.0
2026-01-27,99.03,97.83,99.03,97.63,18089989,1783507683.0
2026-01-28,98.88,102.31,102.41,96.89,38370529,3870483905.0
2026-01-29,102.51,101.32,102.51,100.12,35342444,3588594895.0
2026-01-30,101.32,97.29,101.32,96.94,28686462,2823757313.0
2026-02-02,95.99,90.57,95.99,88.98,64818398,5925113990.0
2026-02-03,90.67,89.57,91.26,88.48,35262554,3169695606.0
2026-02-04,88.48,89.57,91.12,88.08,26973989,2425330578.0
2026-02-05,88.78,90.82,92.31,88.43,31958133,2905373970.0
2026-02-06,89.37,91.86,93.7,89.37,28762257,2655259741.0
2026-02-09,93.45,93.11,94.0,92.91,15298976,1436572429.0
2026-02-10,94.15,95.34,96.84,93.7,24228243,2325425832.0
2026-02-11,96.54,98.68,99.92,95.59,25412402,2517760123.0
2026-02-12,99.52,98.08,99.52,97.88,14838306,1467384738.0
2026-02-13,95.99,97.29,98.23,95.89,13394550,1309246503.0
2026-02-16,96.54,97.34,97.43,95.2,8734638,846171249.0
2026-02-20,97.19,95.0,97.53,94.85,14041718,1351402652.0
2026-02-23,95.79,99.62,99.92,95.79,23088416,2298336868.0
2026-02-24,98.58,98.88,99.13,96.94,18072462,1787456679.0
2026-02-25,98.88,98.28,100.62,97.78,19338320,1919197592.0
2026-02-26,99.18,94.5,99.18,94.3,20402444,1960741810.0
2026-02-27,94.45,94.5,95.25,93.16,21042119,1994304263.0
2026-03-02,92.56,98.63,99.43,91.66,51441329,5039292121.0
2026-03-03,99.52,95.74,100.22,94.95,36339812,3520721721.0
2026-03-04,94.1,94.6,95.25,92.26,39344356,3702765366.0
2026-03-05,96.04,92.16,96.74,90.47,37866097,3539718889.0
2026-03-06,92.56,94.25,94.25,90.77,59157310,5528932240.0
2026-03-09,89.97,97.58,97.83,89.97,54953394,5271088473.0
2026-03-10,98.38,96.49,98.43,95.2,29806454,2883973174.0
2026-03-11,96.74,97.68,98.98,95.84,27470658,2699658249.0
2026-03-12,97.68,97.73,98.48,96.39,24477866,2395923677.0
2026-03-13,97.04,96.29,98.33,95.74,16595333,1618653210.0
2026-03-16,96.29,103.8,104.3,95.3,56801892,5818092896.0
2026-03-17,104.7,104.0,107.09,102.81,44880576,4735924146.0
2026-03-18,104.9,101.71,105.1,100.82,22677647,2325840377.0
2026-03-19,100.72,102.71,104.2,100.32,26168510,2702787943.0
2026-03-20,103.01,103.31,105.7,102.21,38791788,4051943430.0
2026-03-23,103.7,101.91,107.49,101.22,71168848,7432435934.0
2026-03-24,104.0,106.49,106.59,100.42,46800832,4903844180.0
2026-03-25,108.48,105.89,108.48,105.2,31918636,3413285671.0
2026-03-26,106.19,102.21,107.29,102.01,23372656,2433067132.0
2026-03-27,105.0,105.99,107.29,103.01,35805023,3810728367.0
2026-03-30,101.12,105.3,107.49,100.62,54158463,5729638119.0
2026-03-31,105.99,105.3,107.79,104.8,27327199,2903705207.0
2026-04-01,106.39,104.2,107.09,101.12,41883096,4345302487.0
2026-04-02,104.2,103.41,105.99,101.22,25833489,2682997860.0
2026-04-08,103.41,106.29,106.29,100.82,44304546,4634253782.0
2026-04-09,106.29,101.32,106.29,101.02,29942626,3089455013.0
2026-04-10,102.01,104.6,105.89,101.52,31675993,3303105380.0
2026-04-13,105.3,109.78,110.97,104.8,50148879,5500136961.0
2026-04-14,109.78,108.88,110.17,106.89,28771589,3143417671.0
2026-04-15,110.07,106.79,110.47,106.49,20699945,2244025694.0
2026-04-16,107.98,112.66,112.86,107.69,37146188,4165153338.0
2026-04-17,112.46,110.87,112.46,110.07,19436216,2162555924.0
2026-04-20,111.97,109.48,111.97,109.08,16496771,1825173455.0
2026-04-21,110.57,108.58,110.67,107.79,16306241,1779207595.0
2026-04-22,108.68,106.49,109.18,106.19,16701938,1797726005.0
2026-04-23,107.09,103.01,107.19,101.52,32113437,3319437551.0
2026-04-24,102.51,100.72,102.51,98.98,29804277,2998599706.0
2026-04-27,101.81,105.5,106.29,101.12,36998469,3896433466.0
2026-04-28,105.5,103.21,106.49,102.91,21224859,2221177388.0
2026-04-29,103.9,107.79,108.08,103.8,45926082,4919953559.0
2026-04-30,108.38,102.01,108.58,101.61,36659301,3807568576.0
2026-05-04,104.1,102.51,104.1,102.01,15580519,1611487102.0
2026-05-05,101.71,100.52,102.11,98.18,21462823,2151494603.0
2026-05-06,101.12,98.43,101.52,97.78,35394788,3510556760.0
2026-05-07,99.72,100.22,101.32,99.03,23883417,2400996296.0
2026-05-08,99.72,99.28,101.52,99.18,16811780,1688583190.0
2026-05-11,99.28,101.22,101.52,97.58,23621592,2375133197.0
2026-05-12,100.72,99.38,102.41,98.88,16569346,1665833252.0
2026-05-13,99.13,97.68,99.33,95.79,26642728,2602087143.0
2026-05-14,99.72,97.68,100.42,97.29,20727459,2048482340.0
2026-05-15,97.53,95.99,97.93,95.34,21951647,2121682056.0
2026-05-18,95.1,93.35,95.3,92.26,29649808,2772878954.0
2026-05-19,93.85,93.45,94.15,92.01,18431312,1726311531.0
2026-05-20,92.56,89.77,92.56,89.67,34280540,3114659932.0
2026-05-21,90.37,90.12,92.76,89.87,21982214,2004891832.0
2026-05-22,90.27,91.16,91.86,90.17,18267233,1670771748.0
2026-05-26,92.06,93.21,94.35,91.07,32533024,3035644289.0
2026-05-27,92.71,90.27,93.06,89.72,32965656,3006399643.0
2026-05-28,90.27,89.87,90.37,88.38,30571211,2746310791.0
2026-05-29,91.96,90.87,92.86,88.73,50503512,4628521918.0
2026-06-01,90.87,90.32,92.31,89.92,24241377,2208456613.0
2026-06-02,93.16,96.29,96.69,92.46,44730548,4279808213.0
2026-06-03,96.24,92.81,96.24,92.61,28148039,2649017705.0
2026-06-04,89.62,91.36,92.01,89.62,24773902,2271699896.0
2026-06-05,91.56,89.27,92.06,89.17,26150935,2360760971.0
2026-06-08,88.58,87.63,88.58,86.44,25945048,2286175229.0
2026-06-09,88.53,87.98,89.32,87.43,14797466,1313593507.0
2026-06-10,86.64,86.19,87.08,83.85,33622524,2883139206.0
2026-06-11,85.8,84.95,86.8,83.65,20844023,1765875288.0
2026-06-12,84.8,86.55,86.7,84.6,16484892,1418993276.0
2026-06-15,87.0,85.6,88.0,84.3,19539635,1675332191.0
2026-06-16,85.3,84.05,85.7,83.4,17289596,1453609086.0
2026-06-17,83.5,81.9,84.0,81.35,26615014,2184177171.0
2026-06-18,81.0,80.85,82.9,80.4,30913072,2511462471.0
2026-06-22,80.25,78.35,80.25,76.7,40011785,3125919067.0
2026-06-23,78.25,75.85,78.3,75.6,38196800,2919597734.0
2026-06-24,76.2,75.95,76.85,74.2,27127739,2048525018.0
2026-06-25,75.9,76.05,77.45,74.6,28168589,2136213760.0
2026-06-26,75.0,72.65,75.55,72.2,32623656,2378729595.0
2026-06-29,72.9,72.9,74.6,72.45,24806182,1822231484.0
2026-06-30,72.55,72.45,74.1,71.4,28317739,2050972810.0
2026-07-02,76.0,78.3,79.6,74.95,54549471,4260626310.0
2026-07-03,81.2,84.1,84.45,80.0,54232910,4501232334.0
